id,method,result
1,0,-0.057
1,1,1.604
1,2,0.043
1,3,0.99
2,0,0.033
2,1,12.617
2,2,0.982
2,3,0.887
3,0,-0.0
3,1,1.308
3,2,0.543
3,3,0.916
4,0,0.022
4,1,2.455
4,2,0.817
4,3,0.888
5,0,-0.051
5,1,1.209
5,2,0.373
5,3,0.954
6,0,0.011
6,1,1.324
6,2,0.227
6,3,0.909
7,0,-0.006
7,1,1.138
7,2,0.596
7,3,0.905
8,0,-0.031
8,1,2.626
8,2,0.799
8,3,0.909
9,0,-0.035
9,1,1.653
9,2,0.015
9,3,0.99
10,0,0.113
10,1,3.794
10,2,1.082
10,3,0.859
11,0,0.004
11,1,1.126
11,2,0.368
11,3,0.903
12,0,0.132
12,1,10.188
12,2,1.182
12,3,0.861
13,0,-0.061
13,1,1.33
13,2,0.405
13,3,0.939
14,0,0.216
14,1,16.04
14,2,1.073
14,3,0.83
15,0,-0.061
15,1,1.514
15,2,0.106
15,3,0.97
16,0,-0.027
16,1,2.913
16,2,0.724
16,3,0.923
17,0,-0.047
17,1,1.659
17,2,0.012
17,3,0.994
18,0,-0.082
18,1,12.946
18,2,0.445
18,3,0.955
19,0,-0.043
19,1,1.439
19,2,0.624
19,3,0.917
20,0,0.016
20,1,7.25
20,2,0.729
20,3,0.892
21,0,0.158
21,1,3.095
21,2,1.091
21,3,0.853
22,0,-0.057
22,1,1.611
22,2,0.039
22,3,0.988
23,0,-0.044
23,1,1.589
23,2,0.052
23,3,0.985
24,0,-0.042
24,1,1.311
24,2,0.25
24,3,0.948
25,0,-0.041
25,1,1.583
25,2,0.054
25,3,0.983
26,0,0.313
26,1,4.565
26,2,1.301
26,3,0.783
27,0,0.135
27,1,6.238
27,2,0.828
27,3,0.793
28,0,-0.034
28,1,1.682
28,2,0.0
28,3,1.0
29,0,-0.033
29,1,1.122
29,2,0.444
29,3,0.932
30,0,-0.033
30,1,1.557
30,2,0.072
30,3,0.972
31,0,0.228
31,1,32.679
31,2,1.432
31,3,0.806
32,0,0.267
32,1,12.769
32,2,0.696
32,3,0.692
33,0,0.309
33,1,13.144
33,2,0.697
33,3,0.609
34,0,0.086
34,1,1.23
34,2,0.348
34,3,0.861
35,0,-0.047
35,1,1.497
35,2,0.114
35,3,0.972
36,0,0.007
36,1,2.229
36,2,0.775
36,3,0.893
37,0,-0.042
37,1,1.586
37,2,0.051
37,3,0.972
38,0,-0.084
38,1,1.481
38,2,0.16
38,3,0.986
39,0,-0.033
39,1,1.277
39,2,0.237
39,3,0.946
40,0,0.064
40,1,8.068
40,2,0.889
40,3,0.883
41,0,0.034
41,1,0.892
41,2,0.678
41,3,0.886
42,0,-0.045
42,1,1.682
42,2,0.0
42,3,1.0
43,0,-0.089
43,1,1.644
43,2,0.024
43,3,0.996
44,0,-0.05
44,1,1.682
44,2,0.0
44,3,1.0
45,0,0.041
45,1,1.065
45,2,0.749
45,3,0.895
46,0,0.032
46,1,1.687
46,2,0.677
46,3,0.888
47,0,0.01
47,1,2.3
47,2,0.722
47,3,0.889
48,0,-0.017
48,1,1.419
48,2,0.148
48,3,0.927
49,0,0.096
49,1,12.321
49,2,0.324
49,3,0.75
50,0,-0.071
50,1,1.705
50,2,0.614
50,3,0.939
51,0,0.152
51,1,19.879
51,2,0.457
51,3,0.728
52,0,-0.043
52,1,1.682
52,2,0.0
52,3,1.0
53,0,-0.049
53,1,1.652
53,2,0.018
53,3,0.997
54,0,-0.075
54,1,1.581
54,2,0.083
54,3,0.991
55,0,-0.013
55,1,0.987
55,2,0.503
55,3,0.914
56,0,-0.027
56,1,1.164
56,2,0.365
56,3,0.921
57,0,-0.088
57,1,1.682
57,2,0.0
57,3,1.0
58,0,-0.1
58,1,1.47
58,2,0.222
58,3,0.984
59,0,-0.097
59,1,1.682
59,2,0.0
59,3,1.0
60,0,-0.048
60,1,1.682
60,2,0.0
60,3,1.0
61,0,0.562
61,1,5.749
61,2,0.959
61,3,0.469
62,0,0.79
62,1,5.772
62,2,1.427
62,3,0.414
63,0,0.355
63,1,5.964
63,2,0.548
63,3,0.707
64,0,0.839
64,1,5.103
64,2,1.574
64,3,0.367
65,0,0.944
65,1,1.051
65,2,1.352
65,3,0.395
66,0,0.562
66,1,11.669
66,2,1.219
66,3,0.415
67,0,0.132
67,1,6.502
67,2,0.22
67,3,0.826
68,0,0.038
68,1,3.215
68,2,0.168
68,3,0.919
69,0,0.45
69,1,13.618
69,2,1.068
69,3,0.516
70,0,0.95
70,1,0.923
70,2,1.386
70,3,0.355
71,0,0.459
71,1,8.256
71,2,1.085
71,3,0.575
72,0,0.316
72,1,7.656
72,2,0.793
72,3,0.581
73,0,-0.064
73,1,1.682
73,2,0.0
73,3,1.0
74,0,-0.033
74,1,1.682
74,2,0.0
74,3,1.0
75,0,-0.054
75,1,1.145
75,2,0.41
75,3,0.947
76,0,-0.031
76,1,1.26
76,2,0.279
76,3,0.936
77,0,-0.069
77,1,1.561
77,2,0.394
77,3,0.959
